编号,下注点A,下注类别,单点下注额S,组件筹码数,总下注额,基础赔率R,开奖结果B,覆盖/组件命中,幸运倍数L,奖励倍数G,是否命中,派彩口径不含本金,总返还口径含本金,现金净额,核对说明,覆盖数字
GOR-0161-18,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,18,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-19,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,19,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-20,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,20,是,仅命中的直注组件适用,仅命中的直注组件适用,命中,按命中的组件逐项计算派彩并合计；直注组件可套幸运/奖励实际倍数，非直注组件只按基础赔率,按命中的组件逐项计算含本金总返还并合计,组件合计净额：命中组件盈利 - 未命中组件本金；总组件5枚,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-21,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,21,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-22,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,22,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-23,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,23,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-24,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,24,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-25,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,25,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-26,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,26,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-27,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,27,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-28,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,28,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-29,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,29,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-30,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,30,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-31,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,31,是,仅命中的直注组件适用,仅命中的直注组件适用,命中,按命中的组件逐项计算派彩并合计；直注组件可套幸运/奖励实际倍数，非直注组件只按基础赔率,按命中的组件逐项计算含本金总返还并合计,组件合计净额：命中组件盈利 - 未命中组件本金；总组件5枚,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-32,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,32,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-33,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,33,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-34,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,34,是,仅命中的直注组件适用,仅命中的直注组件适用,命中,按命中的组件逐项计算派彩并合计；直注组件可套幸运/奖励实际倍数，非直注组件只按基础赔率,按命中的组件逐项计算含本金总返还并合计,组件合计净额：命中组件盈利 - 未命中组件本金；总组件5枚,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-35,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,35,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0161-36,转盘扇区-孤注,转盘扇区,S,5,S×5,组件合计,36,否,仅命中的直注组件适用,仅命中的直注组件适用,未命中,0,0,-S×5,以S为单个筹码；命中时按组件投注逐项结算并合计，非命中的组件损失,"1,6,9,14,17,20,31,34"
GOR-0162-00,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,0,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件3枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-01,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,1,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-02,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,2,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-03,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,3,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-04,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,4,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-05,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,5,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-06,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,6,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-07,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,7,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-08,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,8,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-09,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,9,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-10,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,10,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-11,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,11,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-12,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,12,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-13,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,13,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-14,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,14,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-15,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,15,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-16,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,16,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-17,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,17,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-18,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,18,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-19,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,19,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-20,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,20,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-21,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,21,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-22,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,22,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-23,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,23,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-24,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,24,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-25,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,25,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-26,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,26,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件3枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-27,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,27,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-28,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,28,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-29,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,29,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-30,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,30,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-31,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,31,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-32,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,32,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件3枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-33,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,33,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-34,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,34,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-35,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,35,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0162-36,邻注-0-左右1,邻注,S,3,S×3,直注组件合计,36,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×3,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,26,32"
GOR-0163-00,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,0,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件5枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-01,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,1,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-02,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,2,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-03,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,3,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件5枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-04,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,4,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-05,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,5,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-06,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,6,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-07,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,7,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-08,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,8,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-09,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,9,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-10,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,10,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-11,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,11,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-12,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,12,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-13,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,13,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-14,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,14,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-15,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,15,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件5枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-16,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,16,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-17,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,17,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-18,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,18,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-19,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,19,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-20,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,20,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-21,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,21,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-22,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,22,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-23,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,23,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-24,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,24,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-25,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,25,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-26,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,26,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件5枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-27,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,27,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-28,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,28,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-29,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,29,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-30,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,30,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-31,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,31,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-32,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,32,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件5枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-33,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,33,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-34,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,34,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-35,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,35,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0163-36,邻注-0-左右2,邻注,S,5,S×5,直注组件合计,36,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×5,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,26,32"
GOR-0164-00,邻注-0-左右3,邻注,S,7,S×7,直注组件合计,0,是,只作用于命中的直注组件,只作用于命中的直注组件,命中,若B在覆盖数字内：B对应直注组件按普通/幸运/奖励实际倍数派彩，其余组件不派彩；否则0,若B在覆盖数字内：命中组件含本金总返还，其余组件0,若命中：命中组件盈利 - 未命中组件本金；总组件7枚,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,19,26,32,35"
GOR-0164-01,邻注-0-左右3,邻注,S,7,S×7,直注组件合计,1,否,只作用于命中的直注组件,只作用于命中的直注组件,未命中,0,0,-S×7,以S为每个直注筹码；覆盖中心及轮盘左右邻号，命中号对应直注按直注规则结算,"0,3,15,19,26,32,35"
